7533181 86 75 5999643 42 59
7471488 80 74 5935234 39 59
7133475 88 71 5600102 43 56
7255684 76 72 5724347 37 57
7422379 90 74 5890752 44 58
7955470 84 79 6424142 41 64
7593202 88 75 6065751 43 60
7269382 86 72 5736733 42 57
7444538 86 74 5913683 42 59
7475182 84 74 5946781 41 59
7358185 86 73 5825661 42 58
7550156 84 75 6018851 41 60
7075642 78 70 5547407 38 55
7166291 80 71 5635383 39 56
7389988 88 73 5860127 43 58
7244701 76 72 5715305 37 57
7578266 84 75 6045083 41 60
7457292 88 74 5926146 43 59
7122986 76 71 5591780 37 55
7292759 80 72 5760448 39 57
