8959269 596 298 1553458 41 51
8929202 576 297 1515563 40 50
8940436 607 298 1518610 40 50
8938978 591 297 1519730 40 50
8940203 604 298 1513739 42 50
8962290 624 298 1577717 43 52
9016686 567 300 1660284 39 55
8958754 649 298 1542326 45 51
8947672 637 298 1537352 43 51
8938938 587 297 1508134 42 50
8943943 568 298 1549538 39 51
8935348 599 297 1490572 41 49
8961528 620 298 1559626 43 51
8933709 600 297 1504658 40 50
8941454 577 298 1505097 40 50
8981353 601 299 1602246 41 53
8954989 581 298 1528497 41 50
8969629 570 298 1552648 39 51
8941186 606 298 1509927 42 50
8971703 617 299 1561977 42 52
