4165543 76 69 3248419 37 54
4281930 82 71 3364524 40 56
4082816 74 68 3166081 36 52
4232592 80 70 3314942 39 55
4125767 80 68 3206969 39 53
4200707 82 70 3281340 40 54
4182454 78 69 3265455 38 54
4071934 76 67 3153875 37 52
4259445 82 70 3340226 40 55
4104393 76 68 3187659 37 53
4150089 78 69 3234389 38 53
4100843 76 68 3183477 37 53
4155705 72 69 3236109 35 53
4188189 74 69 3268703 36 54
4191064 82 69 3267892 40 54
4386268 78 73 3469565 38 57
4257954 78 70 3340331 38 55
4165153 76 69 3247875 37 54
4459497 82 74 3541239 40 59
4334461 80 72 3416118 39 56
