1639;798
1746;599
871;736
498;325
1630;674
2739;891
707;332
881;447
1085;794
1466;629
1235;548
684;447
1611;586
1891;1191
1049;537
1514;469
1336;973
705;457
988;701
1486;621
1467;527
782;553
907;665
733;513
1274;615
1439;381
1112;557
1104;685
1572;1128
973;506
846;539
1035;400
1378;618
776;413
1279;463
1264;1167
1107;405
1670;1103
747;435
678;491
1005;744
809;405
821;655
1259;846
590;381
1130;447
1452;798
814;350
1748;1045
1200;584
1166;495
978;352
1460;382
399;323
985;413
1220;758
1509;797
1543;694
1032;686
2010;616
1229;521
767;421
1110;489
1066;634
1438;790
1001;498
1002;506
958;499
1030;610
1442;512
1231;784
2391;905
1504;761
816;481
500;355
1056;569
1225;554
619;363
748;375
1014;518
1056;458
1102;738
685;377
1613;822
1261;515
799;688
866;441
1655;583
1076;689
1137;491
1020;445
1659;748
1098;728
1032;855
858;472
531;370
1094;545
1097;717
1246;399
1479;795
