256494;257494
253645;254645
254555;255555
253788;254788
247565;248565
259141;260141
240229;241229
252764;253764
252430;253430
252249;253249
245077;246077
244869;245869
253444;254444
252087;253087
245358;246358
259362;260362
253668;254668
255666;256666
250342;251342
246008;247008
243353;244353
239333;240333
258614;259614
250219;251219
245991;246991
245952;246952
244224;245224
254304;255304
237474;238474
249716;250716
249277;250277
245118;246118
252187;253187
251552;252552
244540;245540
249840;250840
256891;257891
248319;249319
250944;251944
246177;247177
242754;243754
248434;249434
255296;256296
246921;247921
244651;245651
258031;259031
245272;246272
244805;245805
251967;252967
247684;248684
256841;257841
249117;250117
251780;252780
242449;243449
245156;246156
249573;250573
242311;243311
262199;263199
244772;245772
250312;251312
251129;252129
244845;245845
251523;252523
251045;252045
254671;255671
255739;256739
252977;253977
248484;249484
243171;244171
244550;245550
241205;242205
239729;240729
249426;250426
250053;251053
251831;252831
247060;248060
251808;252808
251057;252057
255962;256962
250477;251477
244266;245266
250527;251527
255067;256067
250636;251636
255405;256405
252289;253289
255090;256090
253114;254114
245955;246955
247863;248863
249555;250555
243723;244723
257835;258835
251292;252292
252261;253261
243689;244689
248944;249944
251739;252739
250540;251540
254380;255380
